lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.3750, WER 3.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.3750, WER 3.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 4.5556, WER 5.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 2.2353, WER 3.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 7.3333, WER 5.500000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7321, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8393, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8021, WER 0.947368
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7467, WER 0.937500
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8515, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7963, WER 1.111111
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7500, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8739, WER 0.958333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.4000, WER 1.250000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7222, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7727, WER 0.933333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6522, WER 0.833333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6522, WER 0.833333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6522, WER 0.833333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7708, WER 1.125000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7143, WER 1.100000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7414, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7600, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6494, WER 0.923077
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8833, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7273, WER 0.941176
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7719, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7000, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7436, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7241, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7167, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7719, WER 0.888889
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7121, WER 0.923077
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7344, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7955, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8235, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.7273, WER 0.909091
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 1.6111, WER 1.500000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8000, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8182, WER 1.000000
